supplier_id,model_id,price
1,11475,55.0
1,14517,55.0
1,14515,90.0
1,14516,70.0
1,26750,80.0
1,11137,115.0
1,11138,76.0
1,13347,160.0
1,13348,155.0
1,6586,340.0
1,6587,340.0
1,6578,320.0
1,6579,320.0
1,6584,380.0
1,6585,380.0
1,6589,115.0
1,6610,130.0
1,6583,148.0
1,6604,171.0
1,6591,125.0
1,6580,200.0
1,6601,230.0
1,6581,200.0
1,7686,135.0
1,10971,165.0
1,7684,165.0
1,10972,195.0
1,7685,175.0
1,10973,215.0
1,3046,115.0
1,6575,115.0
1,11477,70.0
1,11476,125.0
1,26756,70.0
1,26755,125.0
2,26054,815.0
2,26055,815.0
2,26053,815.0
2,3183,675.0
2,3184,675.0
2,3132,625.0
2,3246,575.0
2,3245,575.0
2,19389,135.0
2,19390,135.0
2,19391,135.0
2,19392,140.0
2,19401,142.0
2,19393,140.0
2,19394,140.0
2,19403,142.0
2,19395,148.0
2,19404,151.0
2,19397,148.0
2,27010,135.0
2,7895,175.0
2,7896,178.0
2,7897,175.0
2,20457,190.0
2,20458,190.0
2,20459,190.0
2,21246,201.0
2,21247,201.0
2,21248,201.0
2,20460,235.0
2,21194,245.0
2,20461,235.0
2,21195,245.0
2,20462,235.0
2,21196,245.0
2,19746,215.0
2,19748,215.0
2,19747,215.0
2,19755,255.0
2,19757,255.0
2,19756,255.0
2,24464,190.0
2,24463,190.0
2,24466,215.0
2,24465,215.0
2,27012,173.0
2,27013,173.0
2,27015,183.0
2,27016,183.0
2,27772,310.0
2,27773,310.0
2,27775,310.0
2,27782,365.0
2,27783,365.0
2,27785,365.0
2,11370,310.0
2,11367,310.0
2,24470,225.0
2,24471,225.0
2,25720,370.0
2,25748,380.0
2,25721,370.0
2,25749,380.0
2,25724,400.0
2,25725,400.0
2,11357,375.0
2,27725,320.0
2,27726,320.0
2,25704,420.0
2,25732,425.0
2,25706,420.0
2,25734,425.0
2,25733,425.0
2,25708,450.0
2,25736,460.0
2,25710,445.0
2,25738,460.0
2,25709,450.0
2,25737,460.0
2,707,575.0
2,728,625.0
2,19408,570.0
2,19409,570.0
2,19412,630.0
2,19414,630.0
2,19417,675.0
2,19415,675.0
2,10839,700.0
2,10840,700.0
2,10842,700.0
2,10846,765.0
2,10847,765.0
2,10849,765.0
2,10827,860.0
2,10828,880.0
2,12966,780.0
2,12967,780.0
2,12968,910.0
2,12969,910.0
2,10802,1050.0
2,10865,1080.0
2,10798,950.0
2,10861,1060.0
2,10800,950.0
2,10863,1060.0
2,10797,950.0
2,10872,1180.0
2,10805,1135.0
2,10807,1135.0
2,25452,860.0
2,25508,880.0
2,25451,840.0
2,25450,840.0
2,25459,1010.0
2,25458,1010.0
2,25457,1010.0
2,25438,980.0
2,25437,1010.0
2,25445,1090.0
2,25444,1120.0
2,25466,1090.0
2,25465,1080.0
2,25464,1090.0
2,25467,1090.0
2,25473,1330.0
2,25472,1310.0
2,25471,1315.0
2,25474,1310.0
2,25487,1610.0
2,25486,1610.0
2,25485,1610.0
2,15576,800.0
2,15577,800.0
2,15580,1040.0
2,15579,1020.0
2,15584,1090.0
2,15583,1090.0
2,15587,1675.0
2,15586,1670.0
2,15589,1675.0
2,15591,1775.0
2,15590,1770.0
2,15593,1770.0
2,24413,135.0
2,24415,175.0
2,24417,173.0
2,24418,173.0
2,24419,210.0
2,24420,210.0
2,24878,305.0
2,24881,284.0
2,24893,285.0
2,24884,320.0
2,24896,330.0
2,13784,375.0
2,13783,375.0
2,13785,375.0
2,14782,460.0
2,13790,450.0
2,13791,455.0
2,13775,500.0
2,13776,500.0
2,13781,625.0
2,13782,625.0
2,13793,480.0
2,13792,480.0
2,13799,565.0
2,13798,565.0
2,13766,645.0
2,13767,645.0
2,13772,810.0
2,19689,310.0
2,19725,330.0
2,19691,310.0
2,19690,310.0
2,19692,365.0
2,19693,365.0
2,19680,495.0
2,19681,495.0
2,7968,715.0
2,14755,770.0
2,7971,910.0
2,7972,910.0
2,19701,675.0
2,24429,750.0
2,19703,775.0
2,19697,980.0
2,7981,880.0
2,14790,920.0
2,7975,1040.0
2,7976,1040.0
2,19683,1000.0
2,19686,1160.0
2,19671,1290.0
2,19673,1400.0
2,27386,760.0
2,27617,140.0
2,27621,150.0
2,19659,140.0
2,19632,185.0
2,19638,205.0
2,25039,255.0
2,25043,300.0
2,25045,300.0
2,25044,300.0
2,26702,545.0
2,26704,545.0
2,28054,545.0
2,26703,545.0
2,26706,595.0
2,26708,610.0
2,26792,655.0
2,26798,910.0
2,13231,210.0
2,13320,220.0
2,13232,210.0
2,13321,220.0
2,13337,215.0
2,13339,265.0
2,26641,395.0
2,11442,325.0
2,25574,435.0
2,11463,595.0
2,28057,370.0
2,28061,420.0
2,28062,420.0
2,28076,470.0
2,24297,525.0
2,28070,575.0
2,24285,730.0
2,27629,575.0
2,27634,625.0
2,28083,730.0
2,28088,780.0
2,24280,830.0
2,24284,880.0
2,26938,930.0
2,24499,1090.0
2,25178,1390.0
2,25181,1550.0
2,27639,990.0
2,27640,830.0
2,11093,1260.0
2,27614,50.0
2,27611,180.0
2,27610,180.0
2,27608,180.0
2,27609,215.0
2,27612,275.0
2,27681,60.0
2,27682,58.0
2,27683,62.0
2,27684,68.0
2,27685,62.0
2,27686,58.0
2,27687,62.0
2,27278,73.0
2,27280,73.0
3,19405,142.0
3,25722,386.0
3,19420,590.0
3,19421,590.0
3,12391,130.0
3,26426,135.0
3,26427,135.0
3,26429,135.0
3,26431,145.0
3,26432,145.0
3,26434,145.0
3,16585,152.0
3,16586,152.0
3,16589,165.0
3,16590,165.0
3,16593,169.0
3,16597,193.0
3,16623,178.0
3,16624,177.0
3,16625,177.0
3,16643,193.0
3,16646,205.0
3,10706,205.0
3,24912,208.0
3,24914,210.0
3,24915,210.0
3,24917,221.0
3,24922,229.0
3,24924,229.0
3,24923,229.0
3,24976,285.0
3,24977,285.0
3,24978,285.0
3,24936,310.0
3,24940,347.0
3,24984,348.0
3,24941,347.0
3,24986,348.0
3,25263,345.0
3,25264,345.0
3,25266,345.0
3,25197,375.0
3,24946,400.0
3,24945,400.0
3,24954,453.0
3,24952,453.0
3,24953,465.0
3,27370,560.0
3,27371,560.0
3,27372,560.0
3,27374,600.0
3,27375,600.0
3,27376,600.0
3,27468,700.0
3,27470,700.0
3,27469,700.0
3,27388,765.0
3,27387,765.0
3,27398,875.0
3,27399,875.0
3,25601,939.0
3,25600,939.0
3,25560,1330.0
3,27070,1160.0
3,27073,1160.0
3,27072,1190.0
3,27071,1190.0
3,25023,345.0
3,25027,406.0
3,26690,402.0
3,26692,402.0
3,28052,405.0
3,26691,402.0
3,26694,430.0
3,26698,460.0
3,26700,460.0
