model_id,min_price_old,min_price_new,date,status
779,,1350.0,2024-09-17,None
780,,1350.0,2024-09-17,None
781,1650.0,1530.0,2024-12-11,None
782,1650.0,1530.0,2024-12-11,None
783,325.0,320.0,2025-04-03,None
784,325.0,320.0,2025-04-03,None
785,325.0,320.0,2025-04-03,None
786,325.0,320.0,2025-04-03,None
787,470.0,460.0,2025-03-06,None
788,470.0,460.0,2025-03-06,None
789,470.0,460.0,2025-03-06,None
790,470.0,460.0,2025-03-06,None
791,550.0,560.0,2025-04-03,None
792,550.0,560.0,2025-04-03,None
793,550.0,560.0,2025-04-03,None
794,550.0,560.0,2025-04-03,None
795,660.0,650.0,2025-03-11,None
796,660.0,650.0,2025-03-11,None
797,660.0,650.0,2025-03-11,None
798,660.0,650.0,2025-03-11,None
799,,1200.0,2024-09-17,None
800,,1200.0,2024-09-17,None
801,,1200.0,2024-09-17,None
802,,1200.0,2024-09-17,None
803,,,,None
804,,,,None
805,,,,None
806,,,,None
807,800.0,765.0,2025-03-18,None
808,800.0,765.0,2025-03-18,None
809,800.0,765.0,2025-03-18,None
810,800.0,765.0,2025-03-18,None
811,,950.0,2024-09-17,None
812,,950.0,2024-09-17,None
813,,950.0,2024-09-17,None
814,,950.0,2024-09-17,None
815,,1300.0,2024-09-17,None
816,,1300.0,2024-09-17,None
817,,1300.0,2024-09-17,None
818,,1300.0,2024-09-17,None
819,,,,None
820,,,,None
821,,,,None
822,,,,None
823,1150.0,1140.0,2025-04-03,None
824,1150.0,1140.0,2025-04-03,None
825,1355.0,1330.0,2025-03-11,None
826,1355.0,1330.0,2025-03-11,None
827,1550.0,1600.0,2025-03-11,None
828,1550.0,1600.0,2025-03-11,None
829,1700.0,1680.0,2025-04-03,None
830,1700.0,1680.0,2025-04-03,None
831,460.0,465.0,2025-03-18,None
832,460.0,465.0,2025-03-18,None
833,460.0,465.0,2025-03-18,None
834,460.0,465.0,2025-03-18,None
835,800.0,750.0,2025-03-11,None
836,800.0,750.0,2025-03-11,None
837,800.0,750.0,2025-03-11,None
838,800.0,750.0,2025-03-11,None
839,245.0,275.0,2025-04-03,None
840,245.0,275.0,2025-04-03,None
841,370.0,360.0,2025-04-03,None
842,370.0,360.0,2025-04-03,None
843,,610.0,2024-09-17,None
844,,610.0,2024-09-17,None
845,,610.0,2024-09-17,None
846,,610.0,2024-09-17,None
